variable,label,source,dtype,n_missing,n_unique,min,max,value_labels
asbadeg,Baccalaureate degrees conferred in the Arts & Sciences (first and second majors),CCIHE,int64,0,789,0,9100,
selindex,Final Selectivity category (ACT and Pct Admit) (1=inclusive; 2=selective; 3=more selective),CCIHE,float64,1288,4,0.0,3.0,
actcmp25,"ACT Composite Score, 25 percentile",IPEDS,float64,1288,26,0.0,35.0,
actfinal,"Derived 25th percentile ACT score, weighting both ACT and equated SAT scores by number submitted",CCIHE,float64,1288,794,0.0,34.432584,
admitsf20,Number of first-time students admitted to the university (used with applicants and test scores for selectivity index),IPEDS,float64,1288,1429,0.0,74604.0,
anenr1920,"Annual enrollment headcount, academic year 2019-20",IPEDS,int64,0,3064,0,190404,
appsf20,Number of first-time student applications (used with admits and test scores for selectivity index),IPEDS,float64,1288,1481,0.0,108870.0,
asc2crtc,Associate's and Certificates of less than 2 years in career and technical fields,CCIHE,int64,0,700,0,11228,
asc2trns,Associate's and Certificates of less than 2 years in transfer fields,CCIHE,int64,0,749,0,10644,
assocdeg,Associate's degree total,IPEDS,int64,0,895,0,20449,
baccdeg,Bachelor's degree total,IPEDS,int64,0,1171,0,24676,
basic2000,2000 Carnegie Classification (historical - not updated),CCIHE,int64,0,19,-2,60,"-2=Not classified, not in classification universe; 15=Doctoral/Research Universities—Extensive; 16=Doctoral/Research Universities—Intensive; 21=Master's Colleges and Universities I; 22=Master's Colleges and Universities II; 31=Baccalaureate Colleges—Liberal Arts; 32=Baccalaureate Colleges—General; 33=Baccalaureate/Associate's Colleges; 40=Associate's Colleges; 51=Specialized Institutions—Theological seminaries and other specialized faith-related institutions; 52=Specialized Institutions—Medical schools and medical centers; 53=Specialized Institutions—Other separate health profession schools; 54=Specialized Institutions—Schools of engineering and technology; 55=Specialized Institutions—Schools of business and management; 56=Specialized Institutions—Schools of art, music, and design; 57=Specialized Institutions—Schools of law; 58=Specialized Institutions—Teachers colleges; 59=Specialized Institutions—Other specialized institutions; 60=Tribal colleges and universities"
basic2005,2005 Basic Classification (historical - not updated),CCIHE,int64,0,34,-2,33,"-2=Not classified, not in classification universe"
basic2010,2010 Basic Classification (historical - not updated),CCIHE,int64,0,34,-2,33,"1=Assoc/Pub-R-S: Associate's--Public Rural-serving Small; 2=Assoc/Pub-R-M: Associate's--Public Rural-serving Medium; 3=Assoc/Pub-R-L: Associate's--Public Rural-serving Large; 4=Assoc/Pub-S-SC: Associate's--Public Suburban-serving Single Campus; 5=Assoc/Pub-S-MC: Associate's--Public Suburban-serving Multicampus; 6=Assoc/Pub-U-SC: Associate's--Public Urban-serving Single Campus; 7=Assoc/Pub-U-MC: Associate's--Public Urban-serving Multicampus; 8=Assoc/Pub-Spec: Associate's--Public Special Use; 9=Assoc/PrivNFP: Associate's--Private Not-for-profit; 10=Assoc/PrivFP: Associate's--Private For-profit; 11=Assoc/Pub2in4: Associate's--Public 2-year colleges under 4-year universities; 12=Assoc/Pub4: Associate's--Public 4-year Primarily Associate's; 13=Assoc/PrivNFP4: Associate's--Private Not-for-profit 4-year Primarily Associate's; 14=Assoc/PrivFP4: Associate's--Private For-profit 4-year Primarily Associate's; 15=RU/VH: Research Universities (very high research activity); 16=RU/H: Research Universities (high research activity); 17=DRU: Doctoral/Research Universities; 18=Master's L: Master's Colleges and Universities (larger programs); 19=Master's M: Master's Colleges and Universities (medium programs); 20=Master's S: Master's Colleges and Universities (smaller programs); 21=Bac/A&S: Baccalaureate Colleges--Arts & Sciences; 22=Bac/Diverse: Baccalaureate Colleges--Diverse Fields; 23=Bac/Assoc: Baccalaureate/Associate's Colleges; 24=Spec/Faith: Special Focus Institutions--Theological seminaries, Bible colleges, and other faith-related institutions; 25=Spec/Med: Special Focus Institutions--Medical schools and medical centers; 26=Spec/Health: Special Focus Institutions--Other health professions schools; 27=Spec/Engg: Special Focus Institutions--Schools of engineering; 28=Spec/Tech: Special Focus Institutions--Other technology-related schools; 29=Spec/Bus: Special Focus Institutions--Schools of business and management; 30=Spec/Arts: Special Focus Institutions--Schools of art, music, and design; 31=Spec/Law: Special Focus Institutions--Schools of law; 32=Spec/Other: Special Focus Institutions--Other special-focus institutions; 33=Tribal: Tribal Colleges"
